DIR,SRC,BRANCH,SCM
src/breakpad/src,https://chromium.googlesource.com/breakpad/breakpad/src.git,615a6b0e2b376e3ae946972a52ef897bf6daaff3,GIT
src/buildtools,https://chromium.googlesource.com/chromium/buildtools.git,68e3c238a5ab347436762cb929316aa55ca72563,GIT
src/sdch/open-vcdiff,https://chromium.googlesource.com/external/github.com/google/open-vcdiff.git,21d7d0b9c3d0c3ccbdb221c85ae889373f0a2a58,GIT
src/testing/gtest,https://chromium.googlesource.com/external/github.com/google/googletest.git,6f8a66431cb592dad629028a50b3dd418a408c87,GIT
src/testing/gmock,https://chromium.googlesource.com/external/googlemock.git,0421b6f358139f02e102c9c332ce19a33faf75be,GIT
src/third_party/angle,https://chromium.googlesource.com/angle/angle.git,d561057f243629474299ee182e0bd86464d41e03,GIT
src/third_party/colorama/src,https://chromium.googlesource.com/external/colorama.git,799604a1041e9b3bc5d2789ecbd7e8db2e18e6b8,GIT
src/third_party/icu,https://chromium.googlesource.com/chromium/deps/icu.git,42c58d4e49f2250039f0e98d43e0b76e8f5ca024,GIT
src/third_party/libexif/sources,https://chromium.googlesource.com/chromium/deps/libexif/sources.git,ed98343daabd7b4497f97fda972e132e6877c48a,GIT
src/third_party/hunspell_dictionaries,https://chromium.googlesource.com/chromium/deps/hunspell_dictionaries.git,c106afdcec5d3de2622e19f1b3294c47bbd8bd72,GIT
src/third_party/safe_browsing/testing,https://chromium.googlesource.com/external/google-safe-browsing/testing.git,9d7e8064f3ca2e45891470c9b5b1dce54af6a9d6,GIT
src/third_party/leveldatabase/src,https://chromium.googlesource.com/external/leveldb.git,706b7f8d43b0aecdc75c5ee49d3e4ef5f27b9faf,GIT
src/third_party/snappy/src,https://chromium.googlesource.com/external/snappy.git,762bb32f0c9d2f31ba4958c7c0933d22e80c20bf,GIT
src/tools/gyp,https://chromium.googlesource.com/external/gyp.git,70ee80e82bacf2d7816a56f792bb33587b04c338,GIT
src/tools/swarming_client,https://chromium.googlesource.com/external/swarming.client.git,9cdd76171e517a430a72dcd7d66ade67e109aa00,GIT
src/v8,https://chromium.googlesource.com/v8/v8.git,65013c1d17092a8cad8cd9518d3e877ae96927ff,GIT
src/native_client,https://chromium.googlesource.com/native_client/src/native_client.git,1946a478cab0c564d050631adbd7956d89527081,GIT
src/third_party/sfntly/src,https://chromium.googlesource.com/external/github.com/googlei18n/sfntly.git,130f832eddf98467e6578b548cb74ce17d04a26d,GIT
src/third_party/skia,https://chromium.googlesource.com/skia.git,52e2581700b719aad317605160a2cef45d3db68b,GIT
src/tools/page_cycler/acid3,https://chromium.googlesource.com/chromium/deps/acid3.git,6be0a66a1ebd7ebc5abc1b2f405a945f6d871521,GIT
src/chrome/test/data/perf/canvas_bench,https://chromium.googlesource.com/chromium/canvas_bench.git,a7b40ea5ae0239517d78845a5fc9b12976bfc732,GIT
src/chrome/test/data/perf/frame_rate/content,https://chromium.googlesource.com/chromium/frame_rate/content.git,c10272c88463efeef6bb19c9ec07c42bc8fe22b9,GIT
src/third_party/bidichecker,https://chromium.googlesource.com/external/bidichecker/lib.git,97f2aa645b74c28c57eca56992235c79850fa9e0,GIT
src/third_party/webgl/src,https://chromium.googlesource.com/external/khronosgroup/webgl.git,43331afad7fbd83697c8482b999b13191cf8cfe2,GIT
src/third_party/webdriver/pylib,https://chromium.googlesource.com/external/selenium/py.git,5fd78261a75fe08d27ca4835fb6c5ce4b42275bd,GIT
src/third_party/libvpx_new/source/libvpx,https://chromium.googlesource.com/webm/libvpx.git,23831545a0a148a066b905c0f1e011375c97d790,GIT
src/third_party/ffmpeg,https://chromium.googlesource.com/chromium/third_party/ffmpeg.git,8a728cadef0d39ae0af732461078015e90384abc,GIT
src/third_party/libjingle/source/talk,https://chromium.googlesource.com/external/webrtc/trunk/talk.git,24b04488204d6ce1bb1ea5dccb0100ebed0176ce,GIT
src/third_party/usrsctp/usrsctplib,https://chromium.googlesource.com/external/github.com/sctplab/usrsctp,c60ec8b35c3fe6027d7a3faae89d1c8d7dd3ce98,GIT
src/third_party/libsrtp,https://chromium.googlesource.com/chromium/deps/libsrtp.git,b8dd754b4fa05fd4cf1c2e8dc3b1ac976280e41a,GIT
src/third_party/yasm/source/patched-yasm,https://chromium.googlesource.com/chromium/deps/yasm/patched-yasm.git,4671120cd8558ce62ee8672ebf3eb6f5216f909b,GIT
src/third_party/libjpeg_turbo,https://chromium.googlesource.com/chromium/deps/libjpeg_turbo.git,e4e75037f29745f1546b6ebf5cf532e841c04c2c,GIT
src/third_party/flac,https://chromium.googlesource.com/chromium/deps/flac.git,2c4b86af352b23498315c016dc207e3fb2733fc0,GIT
src/third_party/pyftpdlib/src,https://chromium.googlesource.com/external/pyftpdlib.git,2be6d65e31c7ee6320d059f581f05ae8d89d7e45,GIT
src/third_party/scons-2.0.1,https://chromium.googlesource.com/native_client/src/third_party/scons-2.0.1.git,1c1550e17fc26355d08627fbdec13d8291227067,GIT
src/third_party/webrtc,https://chromium.googlesource.com/external/webrtc/trunk/webrtc.git,011c9309b184c5e28f1d6fb1a0ee31772c7bb8ad,GIT
src/third_party/openmax_dl,https://chromium.googlesource.com/external/webrtc/deps/third_party/openmax.git,7a179b97899cf33d4a12c7ef590176c519016f4d,GIT
src/third_party/jsoncpp/source,https://chromium.googlesource.com/external/github.com/open-source-parsers/jsoncpp.git,f572e8e42e22cfcf5ab0aea26574f408943edfa4,GIT
src/third_party/libyuv,https://chromium.googlesource.com/libyuv/libyuv.git,1019e4537fc1bfc6ee505cd1c628b645c7e966b7,GIT
src/third_party/smhasher/src,https://chromium.googlesource.com/external/smhasher.git,e87738e57558e0ec472b2fc3a643b838e5b6e88f,GIT
src/third_party/libaddressinput/src,https://chromium.googlesource.com/external/libaddressinput.git,5eeeb797e79fa01503fcdcbebdc50036fac023ef,GIT
src/third_party/libphonenumber/src/phonenumbers,https://chromium.googlesource.com/external/libphonenumber/cpp/src/phonenumbers.git,0d6e3e50e17c94262ad1ca3b7d52b11223084bca,GIT
src/third_party/libphonenumber/src/test,https://chromium.googlesource.com/external/libphonenumber/cpp/test.git,f351a7e007f9c9995494499120bbc361ca808a16,GIT
src/third_party/libphonenumber/src/resources,https://chromium.googlesource.com/external/libphonenumber/resources.git,b6dfdc7952571ff7ee72643cd88c988cbe966396,GIT
src/third_party/webpagereplay,https://chromium.googlesource.com/external/github.com/chromium/web-page-replay.git,7564939bdf6482d57b9bd5e9c931679f96d8cf75,GIT
